游戏名称,Game Name
子标题,Subsidiary Name
开始游戏,Start
读取存档,Load
图片鉴赏,Picture
音乐鉴赏,Music
系统设置,Setting
退出游戏,Exit
"常规,键盘控制,手柄控制","Routine,Keyboard,Handle"
背景音乐音量,BGM Volume
环境音效音量,ESE Volume
音效音量,SE Volume
语音音量,Voice Volume
全屏,Full Screen
快进已读,Fast Forward
鼠标滚轮推进,Mouse Wheel Push
文本框界面透明度,Text Box Interface Transparency
这是一句对话台词。,This is a line of dialogue.
文本播放速度,Text Playback Speed
自动播放速度,Auto Playback Speed
这是一段文本播放速度预览效果。,This is a preview of the text playback speed.
关闭,Close
这个世界不存在恶魔吗？,这个世界不存在恶魔吗？
哇哈哈哈哈,哇哈哈哈哈
「欢迎来到GameCreator的世界，您当前所在的,"「Welcome to GameCreator's world, the "
位面,plane
是AVG星之瞳。」, are currently in is the AVG star pupil.」
「欢迎来到GameCreator的世界，您当前所在的位面是AVG星之瞳。」,"「Welcome to GameCreator's world, the plane you are currently in is the AVG star pupil.」"
「请问您的尊姓大名是？」,「May I ask your distinguished name?」
「原来是,「Nice to meet you 
,
！早就久仰您的大名了呢~, ! I have long admired your name~
」,」
「叮咚~叮咚~」,「DingDong~DingDong~」
"「您已获得新的CG图鉴以及收藏曲目，可以在标题界面的图片鉴赏以及音乐鉴赏中进行查看。」
","「您已获得新的CG图鉴以及收藏曲目，可以在标题界面的图片鉴赏以及音乐鉴赏中进行查看。」
"
「测试制作中如果想要清空图鉴内容，请使用编辑器菜单选项中的清空游戏存档功能。」,「测试制作中如果想要清空图鉴内容，请使用编辑器菜单选项中的清空游戏存档功能。」
"（噢噢噢······我这是要发现通往新世界的大门了吗？）
","(Oh oh... am I about to discover the door to a new world?)
"
我能邀请你一起吗？,我能邀请你一起吗？
「如果您有什么问题，可以随时去GC官方群或社区提问~」,「如果您有什么问题，可以随时去GC官方群或社区提问~」
「那么~请尽情创作您心目中的世界，为梦想而追逐吧~！」,「那么~请尽情创作您心目中的世界，为梦想而追逐吧~！」
